,part_length
P0,2400.0
P1,900.0
P2,2400.0
P3,800.0
P4,1600.0
P5,800.0
P6,1600.0
P7,2400.0
P8,1200.0
P9,1800.0
P10,2400.0
P11,3000.0
P12,3600.0
P13,4200.0
P14,4800.0
P15,5400.0
P16,6000.0
P17,1200.0
P18,1800.0
P19,3000.0
P20,3600.0
P21,4200.0
P22,4800.0
P23,5400.0
P24,6000.0
P25,1200.0
P26,1800.0
P27,2400.0
P28,3000.0
P29,1507.0
P30,1507.0
