jointing_pattern_id,member_group_id,part_id,part_offset,transverse_offset
J0^M1,M1,['P0'],[0],[0]
J0^M2,M2,['P0'],[0],[0]
J0^M3,M3,['P1'],[0],[0]
J0^M4,M4,['P2'],[0],[0]
J0^M5,M5,"['P3', 'P4', 'P3', 'P4']","[0, 800.0, 0, 800.0]","[0, 0, 1, 1]"
J1^M5,M5,"['P0', 'P0']","[0, 0]","[0, 1]"
J0^M6,M6,['P2'],[0],[0]
J0^M7,M7,"['P5', 'P6', 'P5', 'P6']","[0, 800.0, 0, 800.0]","[0, 0, 1, 1]"
J1^M7,M7,"['P7', 'P7']","[0, 0]","[0, 1]"
J0^M8,M8,"['P8', 'P8', 'P8', 'P10', 'P8', 'P8', 'P8', 'P10']","[0, 1200.0, 2400.0, 3600.0, 0, 1200.0, 2400.0, 3600.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J1^M8,M8,"['P8', 'P8', 'P9', 'P9', 'P8', 'P8', 'P9', 'P9']","[0, 1200.0, 2400.0, 4200.0, 0, 1200.0, 2400.0, 4200.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J2^M8,M8,"['P8', 'P8', 'P12', 'P8', 'P8', 'P12']","[0, 1200.0, 2400.0, 0, 1200.0, 2400.0]","[0, 0, 0, 1, 1, 1]"
J3^M8,M8,"['P8', 'P9', 'P11', 'P8', 'P9', 'P11']","[0, 1200.0, 3000.0, 0, 1200.0, 3000.0]","[0, 0, 0, 1, 1, 1]"
J4^M8,M8,"['P8', 'P10', 'P10', 'P8', 'P10', 'P10']","[0, 1200.0, 3600.0, 0, 1200.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J5^M8,M8,"['P8', 'P14', 'P8', 'P14']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J6^M8,M8,"['P9', 'P9', 'P10', 'P9', 'P9', 'P10']","[0, 1800.0, 3600.0, 0, 1800.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J7^M8,M8,"['P9', 'P13', 'P9', 'P13']","[0, 1800.0, 0, 1800.0]","[0, 0, 1, 1]"
J8^M8,M8,"['P10', 'P12', 'P10', 'P12']","[0, 2400.0, 0, 2400.0]","[0, 0, 1, 1]"
J9^M8,M8,"['P11', 'P11', 'P11', 'P11']","[0, 3000.0, 0, 3000.0]","[0, 0, 1, 1]"
J10^M8,M8,"['P16', 'P16']","[0, 0]","[0, 1]"
J0^M9,M9,"['P8', 'P9', 'P8', 'P9']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J1^M9,M9,"['P11', 'P11']","[0, 0]","[0, 1]"
J0^M10,M10,"['P17', 'P17', 'P17', 'P2', 'P17', 'P17', 'P17', 'P2']","[0, 1200.0, 2400.0, 3600.0, 0, 1200.0, 2400.0, 3600.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J1^M10,M10,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']","[0, 1200.0, 2400.0, 4200.0, 0, 1200.0, 2400.0, 4200.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J2^M10,M10,"['P17', 'P17', 'P20', 'P17', 'P17', 'P20']","[0, 1200.0, 2400.0, 0, 1200.0, 2400.0]","[0, 0, 0, 1, 1, 1]"
J3^M10,M10,"['P17', 'P18', 'P19', 'P17', 'P18', 'P19']","[0, 1200.0, 3000.0, 0, 1200.0, 3000.0]","[0, 0, 0, 1, 1, 1]"
J4^M10,M10,"['P17', 'P2', 'P2', 'P17', 'P2', 'P2']","[0, 1200.0, 3600.0, 0, 1200.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J5^M10,M10,"['P17', 'P22', 'P17', 'P22']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J6^M10,M10,"['P18', 'P18', 'P2', 'P18', 'P18', 'P2']","[0, 1800.0, 3600.0, 0, 1800.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J7^M10,M10,"['P18', 'P21', 'P18', 'P21']","[0, 1800.0, 0, 1800.0]","[0, 0, 1, 1]"
J8^M10,M10,"['P2', 'P20', 'P2', 'P20']","[0, 2400.0, 0, 2400.0]","[0, 0, 1, 1]"
J9^M10,M10,"['P19', 'P19', 'P19', 'P19']","[0, 3000.0, 0, 3000.0]","[0, 0, 1, 1]"
J10^M10,M10,"['P24', 'P24']","[0, 0]","[0, 1]"
J0^M11,M11,"['P25', 'P26', 'P25', 'P26']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J1^M11,M11,"['P28', 'P28']","[0, 0]","[0, 1]"
J0^M12,M12,"['P17', 'P17', 'P17', 'P2', 'P17', 'P17', 'P17', 'P2']","[0, 1200.0, 2400.0, 3600.0, 0, 1200.0, 2400.0, 3600.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
