jointing_pattern_id,member_group_id,part_id,part_offset,transverse_offset
J1^M12,M12,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']","[0, 1200.0, 2400.0, 4200.0, 0, 1200.0, 2400.0, 4200.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J2^M12,M12,"['P17', 'P17', 'P20', 'P17', 'P17', 'P20']","[0, 1200.0, 2400.0, 0, 1200.0, 2400.0]","[0, 0, 0, 1, 1, 1]"
J3^M12,M12,"['P17', 'P18', 'P19', 'P17', 'P18', 'P19']","[0, 1200.0, 3000.0, 0, 1200.0, 3000.0]","[0, 0, 0, 1, 1, 1]"
J4^M12,M12,"['P17', 'P2', 'P2', 'P17', 'P2', 'P2']","[0, 1200.0, 3600.0, 0, 1200.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J5^M12,M12,"['P17', 'P22', 'P17', 'P22']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J6^M12,M12,"['P18', 'P18', 'P2', 'P18', 'P18', 'P2']","[0, 1800.0, 3600.0, 0, 1800.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J7^M12,M12,"['P18', 'P21', 'P18', 'P21']","[0, 1800.0, 0, 1800.0]","[0, 0, 1, 1]"
J8^M12,M12,"['P2', 'P20', 'P2', 'P20']","[0, 2400.0, 0, 2400.0]","[0, 0, 1, 1]"
J9^M12,M12,"['P19', 'P19', 'P19', 'P19']","[0, 3000.0, 0, 3000.0]","[0, 0, 1, 1]"
J10^M12,M12,"['P24', 'P24']","[0, 0]","[0, 1]"
J0^M13,M13,"['P17', 'P18', 'P17', 'P18']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J1^M13,M13,"['P19', 'P19']","[0, 0]","[0, 1]"
J0^M14,M14,"['P17', 'P17', 'P17', 'P2', 'P17', 'P17', 'P17', 'P2']","[0, 1200.0, 2400.0, 3600.0, 0, 1200.0, 2400.0, 3600.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J1^M14,M14,"['P17', 'P17', 'P18', 'P18', 'P17', 'P17', 'P18', 'P18']","[0, 1200.0, 2400.0, 4200.0, 0, 1200.0, 2400.0, 4200.0]","[0, 0, 0, 0, 1, 1, 1, 1]"
J2^M14,M14,"['P17', 'P17', 'P20', 'P17', 'P17', 'P20']","[0, 1200.0, 2400.0, 0, 1200.0, 2400.0]","[0, 0, 0, 1, 1, 1]"
J3^M14,M14,"['P17', 'P18', 'P19', 'P17', 'P18', 'P19']","[0, 1200.0, 3000.0, 0, 1200.0, 3000.0]","[0, 0, 0, 1, 1, 1]"
J4^M14,M14,"['P17', 'P2', 'P2', 'P17', 'P2', 'P2']","[0, 1200.0, 3600.0, 0, 1200.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J5^M14,M14,"['P17', 'P22', 'P17', 'P22']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J6^M14,M14,"['P18', 'P18', 'P2', 'P18', 'P18', 'P2']","[0, 1800.0, 3600.0, 0, 1800.0, 3600.0]","[0, 0, 0, 1, 1, 1]"
J7^M14,M14,"['P18', 'P21', 'P18', 'P21']","[0, 1800.0, 0, 1800.0]","[0, 0, 1, 1]"
J8^M14,M14,"['P2', 'P20', 'P2', 'P20']","[0, 2400.0, 0, 2400.0]","[0, 0, 1, 1]"
J9^M14,M14,"['P19', 'P19', 'P19', 'P19']","[0, 3000.0, 0, 3000.0]","[0, 0, 1, 1]"
J10^M14,M14,"['P24', 'P24']","[0, 0]","[0, 1]"
J0^M15,M15,"['P17', 'P18', 'P17', 'P18']","[0, 1200.0, 0, 1200.0]","[0, 0, 1, 1]"
J1^M15,M15,"['P19', 'P19']","[0, 0]","[0, 1]"
J0^M16,M16,['P29'],[0],[0]
J0^M17,M17,['P30'],[0],[0]
