,L,section_group,D,B,part_name
P0,2400.0,G3,70,35,P0
P1,900.0,G4,90,35,P1
P2,2400.0,G1,70,35,P2
P3,800.0,G3,70,35,P3
P4,1600.0,G3,70,35,P4
P5,800.0,G2,90,35,P5
P6,1600.0,G2,90,35,P6
P7,2400.0,G2,90,35,P7
P8,1200.0,G5,70,35,P8
P9,1800.0,G5,70,35,P9
P10,2400.0,G5,70,35,P10
P11,3000.0,G5,70,35,P11
P12,3600.0,G5,70,35,P12
P13,4200.0,G5,70,35,P13
P14,4800.0,G5,70,35,P14
P15,5400.0,G5,70,35,P15
P16,6000.0,G5,70,35,P16
P17,1200.0,G1,70,35,P17
P18,1800.0,G1,70,35,P18
P19,3000.0,G1,70,35,P19
P20,3600.0,G1,70,35,P20
P21,4200.0,G1,70,35,P21
P22,4800.0,G1,70,35,P22
P23,5400.0,G1,70,35,P23
P24,6000.0,G1,70,35,P24
P25,1200.0,G4,90,35,P25
P26,1800.0,G4,90,35,P26
P27,2400.0,G4,90,35,P27
P28,3000.0,G4,90,35,P28
P29,1507.0,G7,70,35,P29
P30,1507.0,G4,90,35,P30
