,part_length,section_group
P0,2400.0,G3
P1,900.0,G4
P2,2400.0,G1
P3,800.0,G3
P4,1600.0,G3
P5,800.0,G2
P6,1600.0,G2
P7,2400.0,G2
P8,1200.0,G5
P9,1800.0,G5
P10,2400.0,G5
P11,3000.0,G5
P12,3600.0,G5
P13,4200.0,G5
P14,4800.0,G5
P15,5400.0,G5
P16,6000.0,G5
P17,1200.0,G1
P18,1800.0,G1
P19,3000.0,G1
P20,3600.0,G1
P21,4200.0,G1
P22,4800.0,G1
P23,5400.0,G1
P24,6000.0,G1
P25,1200.0,G4
P26,1800.0,G4
P27,2400.0,G4
P28,3000.0,G4
P29,1507.0,G7
P30,1507.0,G4
