index,size,grade,L_total,element_group_indices
G1,90x19,F14 Seasoned Hardwood,139185,"['E1', 'E2', 'E3', 'E4', 'E5']"
G2,90x45,F5,48000,['E6']
G3,90x35,MGP10,48000,['E7']
