index,size,grade,L_total,element_group_indices
G1,70x35,F5,728100,"['E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E8', 'E9', 'E10', 'E11', 'E12']"
G2,90x35,F5,267000,"['E13', 'E14', 'E15', 'E16', 'E17', 'E18', 'E19', 'E20', 'E21', 'E22', 'E23']"
G3,70x35,MGP10,433300,"['E24', 'E25', 'E26', 'E27', 'E28', 'E29', 'E30', 'E31', 'E32', 'E33', 'E34']"
G4,90x35,MGP10,162800,"['E35', 'E36', 'E37', 'E38', 'E39', 'E40', 'E41', 'E42', 'E43', 'E44', 'E45']"
G5,70x35,MGP12,142300,"['E46', 'E47', 'E48', 'E49', 'E50', 'E51', 'E52', 'E53', 'E54', 'E55']"
G6,90x35,MGP12,46100,"['E56', 'E57', 'E58', 'E59', 'E60', 'E61', 'E62', 'E63']"
G7,70x35,MGP15,134600,"['E64', 'E65', 'E66', 'E67', 'E68', 'E69', 'E70', 'E71', 'E72']"
G8,90x35,MGP15,46100,"['E73', 'E74', 'E75', 'E76', 'E77', 'E78', 'E79', 'E80']"
