index,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
G1,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G2,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G3,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G4,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G5,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G6,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G7,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
G8,16800,4800,900,9600,28800,26400,28800,12000,6000,12000,6000,12000,6000,12000,6000,12056,12056
