index,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
G1,0,0,0,74880,0,205920,0,0,0,93600,0,93600,46800,93600,46800,0,0
G2,0,0,0,0,0,0,224640,0,0,0,0,0,0,0,0,0,0
G3,131040,37440,0,0,224640,0,0,0,0,0,0,0,0,0,0,0,0
G4,0,0,7020,0,0,0,0,0,0,0,46800,0,0,0,0,0,94036
G5,0,0,0,0,0,0,0,93600,46800,0,0,0,0,0,0,0,0
G6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94036,0
G8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
