index,size,grade,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
G1,70x35,F5,2700,,,2700,3000,2700,3000,600,600,600,600,600,600,600,600,0,0
G2,90x35,F5,3000,3000.0,1100.0,3000,3600,3000,3600,600,600,600,600,600,600,600,600,1500,1500
G3,70x35,MGP10,3000,2700.0,,3000,3000,3000,3000,600,600,600,600,600,600,600,600,0,0
G4,90x35,MGP10,3600,3000.0,1300.0,3600,3600,3600,3600,600,600,600,600,600,600,600,600,1600,1600
G5,70x35,MGP12,3000,2700.0,,3000,3600,3000,3600,600,600,600,600,600,600,600,600,1500,1500
G6,90x35,MGP12,3600,3600.0,1800.0,3600,4200,3600,4200,600,600,600,600,600,600,600,600,2300,2300
G7,70x35,MGP15,3000,3000.0,,3000,3600,3000,3600,600,600,600,600,600,600,600,600,1700,1700
G8,90x35,MGP15,3600,3600.0,2000.0,3600,4200,3600,4200,600,600,600,600,600,600,600,600,2700,2700
