size,grade,roof_type,span_type,batten_spacing,max_span,max_cantilever
70x45,MGP15,sheet,continuous,450,1200,600
90x45,MGP15,sheet,continuous,450,1200,600
70x35,MGP15,sheet,continuous,600,1200,600
90x35,MGP15,sheet,continuous,600,1200,600
70x45,MGP15,sheet,continuous,600,1200,600
90x45,MGP15,sheet,continuous,600,1200,600
70x35,MGP15,sheet,continuous,900,1200,525
90x35,MGP15,sheet,continuous,900,1200,600
70x45,MGP15,sheet,continuous,900,1200,600
90x45,MGP15,sheet,continuous,900,1200,600
70x35,MGP15,sheet,continuous,1200,1200,475
90x35,MGP15,sheet,continuous,1200,1200,600
70x45,MGP15,sheet,continuous,1200,1200,600
90x45,MGP15,sheet,continuous,1200,1200,600
70x35,MGP15,tile,continuous,330,1200,600
90x35,MGP15,tile,continuous,330,1200,600
70x45,MGP15,tile,continuous,330,1200,600
90x45,MGP15,tile,continuous,330,1200,600
70x35,MGP15,tile,continuous,450,1200,600
90x35,MGP15,tile,continuous,450,1200,600
70x45,MGP15,tile,continuous,450,1200,600
90x45,MGP15,tile,continuous,450,1200,600
70x35,MGP15,tile,continuous,600,1200,575
90x35,MGP15,tile,continuous,600,1200,600
70x45,MGP15,tile,continuous,600,1200,600
90x45,MGP15,tile,continuous,600,1200,600
70x35,MGP15,tile,continuous,900,1200,450
90x35,MGP15,tile,continuous,900,1200,575
70x45,MGP15,tile,continuous,900,1200,600
90x45,MGP15,tile,continuous,900,1200,600
70x35,MGP15,tile,continuous,1200,1200,425
90x35,MGP15,tile,continuous,1200,1200,500
70x45,MGP15,tile,continuous,1200,1200,600
90x45,MGP15,tile,continuous,1200,1200,600
