grade,size,roof_mass,rafter_spacing,span_type,max_span,max_overhang
MGP15,120x45,90,450,continuous,4200,1300
MGP15,70x35,10,600,continuous,2200,550
MGP15,70x35,20,600,continuous,2200,550
MGP15,70x35,40,600,continuous,2200,600
MGP15,70x35,60,600,continuous,2200,550
MGP15,70x35,90,600,continuous,2000,500
MGP15,70x45,10,600,continuous,2700,650
MGP15,70x45,20,600,continuous,2700,650
MGP15,70x45,40,600,continuous,2700,700
MGP15,70x45,60,600,continuous,2500,700
MGP15,70x45,90,600,continuous,2200,650
MGP15,90x35,10,600,continuous,3700,700
MGP15,90x35,20,600,continuous,3700,700
MGP15,90x35,40,600,continuous,3400,750
MGP15,90x35,60,600,continuous,3000,750
MGP15,90x35,90,600,continuous,2600,800
MGP15,90x45,10,600,continuous,4300,800
MGP15,90x45,20,600,continuous,4300,800
MGP15,90x45,40,600,continuous,3700,850
MGP15,90x45,60,600,continuous,3300,850
MGP15,90x45,90,600,continuous,2900,950
MGP15,120x35,10,600,continuous,6600,850
MGP15,120x35,20,600,continuous,5600,900
MGP15,120x35,40,600,continuous,4500,900
MGP15,120x35,60,600,continuous,4000,950
MGP15,120x35,90,600,continuous,3500,1050
MGP15,120x45,10,600,continuous,7000,1000
MGP15,120x45,20,600,continuous,6000,1000
MGP15,120x45,40,600,continuous,4900,1050
MGP15,120x45,60,600,continuous,4300,1100
MGP15,120x45,90,600,continuous,3800,1200
MGP15,70x35,10,900,continuous,2100,450
MGP15,70x35,20,900,continuous,2100,450
MGP15,70x35,40,900,continuous,2100,450
MGP15,70x35,60,900,continuous,2000,450
MGP15,70x35,90,900,continuous,1800,400
MGP15,70x45,10,900,continuous,2400,500
MGP15,70x45,20,900,continuous,2400,550
MGP15,70x45,40,900,continuous,2400,550
MGP15,70x45,60,900,continuous,2200,550
MGP15,70x45,90,900,continuous,1900,500
MGP15,90x35,10,900,continuous,3300,550
MGP15,90x35,20,900,continuous,3300,550
MGP15,90x35,40,900,continuous,3000,600
MGP15,90x35,60,900,continuous,2600,600
MGP15,90x35,90,900,continuous,2300,600
MGP15,90x45,10,900,continuous,3800,650
MGP15,90x45,20,900,continuous,3800,650
MGP15,90x45,40,900,continuous,3300,650
MGP15,90x45,60,900,continuous,2900,700
MGP15,90x45,90,900,continuous,2500,750
MGP15,120x35,10,900,continuous,5600,700
MGP15,120x35,20,900,continuous,5000,700
MGP15,120x35,40,900,continuous,4000,750
MGP15,120x35,60,900,continuous,3500,800
MGP15,120x35,90,900,continuous,3100,850
MGP15,120x45,10,900,continuous,6400,800
MGP15,120x45,20,900,continuous,5300,800
MGP15,120x45,40,900,continuous,4300,850
MGP15,120x45,60,900,continuous,3800,900
MGP15,120x45,90,900,continuous,3400,950
