grade,size,roof_load_width,roof_type,rafter_spacing,span_type,max_span
F5,2/170x45,4500,sheet,600,single,2600
F5,190x35,4500,sheet,600,single,2200
F5,2/190x35,4500,sheet,600,single,2700
F5,190x45,4500,sheet,600,single,2300
F5,2/190x45,4500,sheet,600,single,2900
F5,240x35,4500,sheet,600,single,2700
F5,2/240x35,4500,sheet,600,single,3300
F5,240x45,4500,sheet,600,single,2900
F5,2/240x45,4500,sheet,600,single,3500
F5,2/290x35,4500,sheet,600,single,3800
F5,290x45,4500,sheet,600,single,3400
F5,2/290x45,4500,sheet,600,single,4000
F5,90x35,4500,sheet,1200,single,700
F5,2/90x35,4500,sheet,1200,single,1100
F5,90x45,4500,sheet,1200,single,800
F5,2/90x45,4500,sheet,1200,single,1300
F5,120x35,4500,sheet,1200,single,1000
F5,2/120x35,4500,sheet,1200,single,1700
F5,120x45,4500,sheet,1200,single,1200
F5,2/120x45,4500,sheet,1200,single,1900
F5,140x35,4500,sheet,1200,single,1200
F5,2/140x35,4500,sheet,1200,single,2000
F5,140x45,4500,sheet,1200,single,1400
F5,2/140x45,4500,sheet,1200,single,2200
F5,170x35,4500,sheet,1200,single,1600
F5,2/170x35,4500,sheet,1200,single,2400
F5,170x45,4500,sheet,1200,single,2000
F5,2/170x45,4500,sheet,1200,single,2700
F5,190x35,4500,sheet,1200,single,1900
F5,2/190x35,4500,sheet,1200,single,2700
F5,190x45,4500,sheet,1200,single,2300
F5,2/190x45,4500,sheet,1200,single,2900
F5,240x35,4500,sheet,1200,single,2800
F5,2/240x35,4500,sheet,1200,single,3300
F5,240x45,4500,sheet,1200,single,2900
F5,2/240x45,4500,sheet,1200,single,3500
F5,2/290x35,4500,sheet,1200,single,3700
F5,290x45,4500,sheet,1200,single,3400
F5,2/290x45,4500,sheet,1200,single,4000
F5,90x35,6000,sheet,600,single,800
F5,2/90x35,6000,sheet,600,single,1200
F5,90x45,6000,sheet,600,single,1000
F5,2/90x45,6000,sheet,600,single,1300
F5,120x35,6000,sheet,600,single,1200
F5,2/120x35,6000,sheet,600,single,1600
F5,120x45,6000,sheet,600,single,1400
F5,2/120x45,6000,sheet,600,single,1700
F5,140x35,6000,sheet,600,single,1500
F5,2/140x35,6000,sheet,600,single,1800
F5,140x45,6000,sheet,600,single,1600
F5,2/140x45,6000,sheet,600,single,2000
F5,170x35,6000,sheet,600,single,1700
F5,2/170x35,6000,sheet,600,single,2200
F5,170x45,6000,sheet,600,single,1900
F5,2/170x45,6000,sheet,600,single,2400
F5,190x35,6000,sheet,600,single,2000
F5,2/190x35,6000,sheet,600,single,2400
F5,190x45,6000,sheet,600,single,2100
F5,2/190x45,6000,sheet,600,single,2700
F5,240x35,6000,sheet,600,single,2500
F5,2/240x35,6000,sheet,600,single,3100
F5,240x45,6000,sheet,600,single,2700
F5,2/240x45,6000,sheet,600,single,3200
F5,2/290x35,6000,sheet,600,single,3500
F5,290x45,6000,sheet,600,single,3200
F5,2/290x45,6000,sheet,600,single,3700
F5,90x35,6000,sheet,1200,single,600
F5,2/90x35,6000,sheet,1200,single,1000
F5,90x45,6000,sheet,1200,single,700
F5,2/90x45,6000,sheet,1200,single,1100
F5,120x35,6000,sheet,1200,single,800
F5,2/120x35,6000,sheet,1200,single,1500
F5,120x45,6000,sheet,1200,single,1000
F5,2/120x45,6000,sheet,1200,single,1600
F5,140x35,6000,sheet,1200,single,1000
F5,2/140x35,6000,sheet,1200,single,1800
F5,140x45,6000,sheet,1200,single,1200
F5,2/140x45,6000,sheet,1200,single,2000
F5,170x35,6000,sheet,1200,single,1400
F5,2/170x35,6000,sheet,1200,single,2200
F5,170x45,6000,sheet,1200,single,1700
F5,2/170x45,6000,sheet,1200,single,2400
F5,190x35,6000,sheet,1200,single,1600
F5,2/190x35,6000,sheet,1200,single,2500
F5,190x45,6000,sheet,1200,single,2000
F5,2/190x45,6000,sheet,1200,single,2700
F5,240x35,6000,sheet,1200,single,2400
F5,2/240x35,6000,sheet,1200,single,3000
F5,240x45,6000,sheet,1200,single,2700
F5,2/240x45,6000,sheet,1200,single,3200
F5,2/290x35,6000,sheet,1200,single,3500
F5,290x45,6000,sheet,1200,single,3200
F5,2/290x45,6000,sheet,1200,single,3700
F5,90x35,7500,sheet,600,single,800
F5,2/90x35,7500,sheet,600,single,1100
F5,90x45,7500,sheet,600,single,900
F5,2/90x45,7500,sheet,600,single,1200
F5,120x35,7500,sheet,600,single,1100
F5,2/120x35,7500,sheet,600,single,1500
F5,120x45,7500,sheet,600,single,1300
F5,2/120x45,7500,sheet,600,single,1600
F5,140x35,7500,sheet,600,single,1400
F5,2/140x35,7500,sheet,600,single,1700
F5,140x45,7500,sheet,600,single,1500
F5,2/140x45,7500,sheet,600,single,1800
F5,170x35,7500,sheet,600,single,1600
F5,2/170x35,7500,sheet,600,single,2000
F5,170x45,7500,sheet,600,single,1800
F5,2/170x45,7500,sheet,600,single,2200
F5,190x35,7500,sheet,600,single,1800
F5,2/190x35,7500,sheet,600,single,2300
F5,190x45,7500,sheet,600,single,2000
F5,2/190x45,7500,sheet,600,single,2500
F5,240x35,7500,sheet,600,single,2300
F5,2/240x35,7500,sheet,600,single,2900
F5,240x45,7500,sheet,600,single,2500
F5,2/240x45,7500,sheet,600,single,3100
F5,2/290x35,7500,sheet,600,single,3300
F5,290x45,7500,sheet,600,single,3000
F5,2/290x45,7500,sheet,600,single,3500
F5,90x35,7500,sheet,1200,single,600
F5,2/90x35,7500,sheet,1200,single,900
F5,90x45,7500,sheet,1200,single,600
F5,2/90x45,7500,sheet,1200,single,1000
F5,120x35,7500,sheet,1200,single,700
F5,2/120x35,7500,sheet,1200,single,1300
F5,120x45,7500,sheet,1200,single,800
F5,2/120x45,7500,sheet,1200,single,1500
F5,140x35,7500,sheet,1200,single,900
F5,2/140x35,7500,sheet,1200,single,1600
F5,140x45,7500,sheet,1200,single,1000
F5,2/140x45,7500,sheet,1200,single,1800
F5,170x35,7500,sheet,1200,single,1200
F5,2/170x35,7500,sheet,1200,single,2000
F5,170x45,7500,sheet,1200,single,1400
F5,2/170x45,7500,sheet,1200,single,2200
F5,190x35,7500,sheet,1200,single,1400
F5,2/190x35,7500,sheet,1200,single,2200
F5,190x45,7500,sheet,1200,single,1700
F5,2/190x45,7500,sheet,1200,single,2500
F5,240x35,7500,sheet,1200,single,2100
F5,2/240x35,7500,sheet,1200,single,2900
F5,240x45,7500,sheet,1200,single,2500
F5,2/240x45,7500,sheet,1200,single,3100
F5,2/290x35,7500,sheet,1200,single,3300
F5,290x45,7500,sheet,1200,single,3000
F5,2/290x45,7500,sheet,1200,single,3500
F5,90x35,1500,tile,600,single,1100
F5,2/90x35,1500,tile,600,single,1500
F5,90x45,1500,tile,600,single,1300
F5,2/90x45,1500,tile,600,single,1600
F5,120x35,1500,tile,600,single,1500
F5,2/120x35,1500,tile,600,single,1900
F5,120x45,1500,tile,600,single,1700
F5,2/120x45,1500,tile,600,single,2100
F5,140x35,1500,tile,600,single,1800
F5,2/140x35,1500,tile,600,single,2200
F5,140x45,1500,tile,600,single,1900
F5,2/140x45,1500,tile,600,single,2400
F5,170x35,1500,tile,600,single,2100
F5,2/170x35,1500,tile,600,single,2700
F5,170x45,1500,tile,600,single,2300
F5,2/170x45,1500,tile,600,single,2900
F5,190x35,1500,tile,600,single,2400
F5,2/190x35,1500,tile,600,single,2900
F5,190x45,1500,tile,600,single,2600
F5,2/190x45,1500,tile,600,single,3100
F5,240x35,1500,tile,600,single,3000
F5,2/240x35,1500,tile,600,single,3500
F5,240x45,1500,tile,600,single,3200
F5,2/240x45,1500,tile,600,single,3700
F5,2/290x35,1500,tile,600,single,4000
F5,290x45,1500,tile,600,single,3600
F5,2/290x45,1500,tile,600,single,4300
F5,90x35,1500,tile,1200,single,900
F5,2/90x35,1500,tile,1200,single,1300
F5,90x45,1500,tile,1200,single,1000
F5,2/90x45,1500,tile,1200,single,1500
F5,120x35,1500,tile,1200,single,1200
F5,2/120x35,1500,tile,1200,single,1900
F5,120x45,1500,tile,1200,single,1400
F5,2/120x45,1500,tile,1200,single,2000
F5,140x35,1500,tile,1200,single,1500
F5,2/140x35,1500,tile,1200,single,2200
F5,140x45,1500,tile,1200,single,1800
F5,2/140x45,1500,tile,1200,single,2400
F5,170x35,1500,tile,1200,single,2000
F5,2/170x35,1500,tile,1200,single,2700
F5,170x45,1500,tile,1200,single,2300
F5,2/170x45,1500,tile,1200,single,2900
F5,190x35,1500,tile,1200,single,2400
F5,2/190x35,1500,tile,1200,single,2900
F5,190x45,1500,tile,1200,single,2600
F5,2/190x45,1500,tile,1200,single,3100
F5,240x35,1500,tile,1200,single,3000
F5,2/240x35,1500,tile,1200,single,3500
F5,240x45,1500,tile,1200,single,3200
F5,2/240x45,1500,tile,1200,single,3700
F5,2/290x35,1500,tile,1200,single,4000
F5,290x45,1500,tile,1200,single,3600
F5,2/290x45,1500,tile,1200,single,4300
F5,90x35,3000,tile,600,single,900
F5,2/90x35,3000,tile,600,single,1200
F5,90x45,3000,tile,600,single,1000
F5,2/90x45,3000,tile,600,single,1300
F5,120x35,3000,tile,600,single,1200
F5,2/120x35,3000,tile,600,single,1500
F5,120x45,3000,tile,600,single,1400
F5,2/120x45,3000,tile,600,single,1600
F5,140x35,3000,tile,600,single,1400
F5,2/140x35,3000,tile,600,single,1700
F5,140x45,3000,tile,600,single,1500
F5,2/140x45,3000,tile,600,single,1900
F5,170x35,3000,tile,600,single,1700
F5,2/170x35,3000,tile,600,single,2100
F5,170x45,3000,tile,600,single,1800
F5,2/170x45,3000,tile,600,single,2300
F5,190x35,3000,tile,600,single,1900
F5,2/190x35,3000,tile,600,single,2300
F5,190x45,3000,tile,600,single,2000
F5,2/190x45,3000,tile,600,single,2600
F5,240x35,3000,tile,600,single,2400
F5,2/240x35,3000,tile,600,single,3000
F5,240x45,3000,tile,600,single,2600
F5,2/240x45,3000,tile,600,single,3200
F5,2/290x35,3000,tile,600,single,3400
F5,290x45,3000,tile,600,single,3100
F5,2/290x45,3000,tile,600,single,3600
F5,90x35,3000,tile,1200,single,600
F5,2/90x35,3000,tile,1200,single,900
F5,90x45,3000,tile,1200,single,700
F5,2/90x45,3000,tile,1200,single,1000
F5,120x35,3000,tile,1200,single,800
F5,2/120x35,3000,tile,1200,single,1400
F5,120x45,3000,tile,1200,single,1000
F5,2/120x45,3000,tile,1200,single,1500
F5,140x35,3000,tile,1200,single,1000
F5,2/140x35,3000,tile,1200,single,1700
F5,140x45,3000,tile,1200,single,1300
F5,2/140x45,3000,tile,1200,single,1900
F5,170x35,3000,tile,1200,single,1400
F5,2/170x35,3000,tile,1200,single,2100
F5,170x45,3000,tile,1200,single,1700
F5,2/170x45,3000,tile,1200,single,2300
F5,190x35,3000,tile,1200,single,1700
F5,2/190x35,3000,tile,1200,single,2300
F5,190x45,3000,tile,1200,single,2000
F5,2/190x45,3000,tile,1200,single,2600
F5,240x35,3000,tile,1200,single,2300
F5,2/240x35,3000,tile,1200,single,3000
F5,240x45,3000,tile,1200,single,2600
F5,2/240x45,3000,tile,1200,single,3100
F5,2/290x35,3000,tile,1200,single,3400
F5,290x45,3000,tile,1200,single,3100
F5,2/290x45,3000,tile,1200,single,3600
F5,90x35,4500,tile,600,single,700
F5,2/90x35,4500,tile,600,single,1000
F5,90x45,4500,tile,600,single,800
F5,2/90x45,4500,tile,600,single,1100
F5,120x35,4500,tile,600,single,1000
F5,2/120x35,4500,tile,600,single,1400
F5,120x45,4500,tile,600,single,1100
F5,2/120x45,4500,tile,600,single,1400
F5,140x35,4500,tile,600,single,1200
F5,2/140x35,4500,tile,600,single,1500
F5,140x45,4500,tile,600,single,1300
F5,2/140x45,4500,tile,600,single,1600
F5,170x35,4500,tile,600,single,1500
F5,2/170x35,4500,tile,600,single,1800
F5,170x45,4500,tile,600,single,1600
F5,2/170x45,4500,tile,600,single,2000
F5,190x35,4500,tile,600,single,1600
F5,2/190x35,4500,tile,600,single,2100
F5,190x45,4500,tile,600,single,1800
F5,2/190x45,4500,tile,600,single,2200
F5,240x35,4500,tile,600,single,2000
F5,2/240x35,4500,tile,600,single,2600
F5,240x45,4500,tile,600,single,2300
F5,2/240x45,4500,tile,600,single,2800
F5,2/290x35,4500,tile,600,single,3100
F5,290x45,4500,tile,600,single,2700
F5,2/290x45,4500,tile,600,single,3300
F5,90x35,4500,tile,1200,single,600
F5,2/90x35,4500,tile,1200,single,800
F5,90x45,4500,tile,1200,single,600
F5,2/90x45,4500,tile,1200,single,800
F5,120x35,4500,tile,1200,single,600
F5,2/120x35,4500,tile,1200,single,1100
F5,120x45,4500,tile,1200,single,700
F5,2/120x45,4500,tile,1200,single,1300
F5,140x35,4500,tile,1200,single,800
F5,2/140x35,4500,tile,1200,single,1400
F5,140x45,4500,tile,1200,single,900
F5,2/140x45,4500,tile,1200,single,1600
F5,170x35,4500,tile,1200,single,1000
F5,2/170x35,4500,tile,1200,single,1800
F5,170x45,4500,tile,1200,single,1300
F5,2/170x45,4500,tile,1200,single,2000
F5,190x35,4500,tile,1200,single,1200
F5,2/190x35,4500,tile,1200,single,2000
F5,190x45,4500,tile,1200,single,1500
F5,2/190x45,4500,tile,1200,single,2200
F5,240x35,4500,tile,1200,single,1900
F5,2/240x35,4500,tile,1200,single,2600
F5,240x45,4500,tile,1200,single,2200
F5,2/240x45,4500,tile,1200,single,2800
F5,2/290x35,4500,tile,1200,single,3100
F5,290x45,4500,tile,1200,single,2700
F5,2/290x45,4500,tile,1200,single,3300
F5,90x35,6000,tile,600,single,600
F5,2/90x35,6000,tile,600,single,900
F5,90x45,6000,tile,600,single,700
F5,2/90x45,6000,tile,600,single,1000
F5,120x35,6000,tile,600,single,800
F5,2/120x35,6000,tile,600,single,1200
F5,120x45,6000,tile,600,single,1000
F5,2/120x45,6000,tile,600,single,1300
F5,140x35,6000,tile,600,single,1000
F5,2/140x35,6000,tile,600,single,1400
F5,140x45,6000,tile,600,single,1200
F5,2/140x45,6000,tile,600,single,1500
F5,170x35,6000,tile,600,single,1300
F5,2/170x35,6000,tile,600,single,1700
F5,170x45,6000,tile,600,single,1400
F5,2/170x45,6000,tile,600,single,1800
F5,190x35,6000,tile,600,single,1400
F5,2/190x35,6000,tile,600,single,1900
F5,190x45,6000,tile,600,single,1600
F5,2/190x45,6000,tile,600,single,2000
F5,240x35,6000,tile,600,single,1700
F5,2/240x35,6000,tile,600,single,2400
F5,240x45,6000,tile,600,single,2000
F5,2/240x45,6000,tile,600,single,2600
F5,2/290x35,6000,tile,600,single,2800
F5,290x45,6000,tile,600,single,2400
F5,2/290x45,6000,tile,600,single,3100
F5,90x35,6000,tile,1200,single,0
F5,2/90x35,6000,tile,1200,single,600
F5,90x45,6000,tile,1200,single,0
F5,2/90x45,6000,tile,1200,single,700
F5,120x35,6000,tile,1200,single,0
F5,2/120x35,6000,tile,1200,single,900
F5,120x45,6000,tile,1200,single,600
F5,2/120x45,6000,tile,1200,single,1100
F5,140x35,6000,tile,1200,single,600
F5,2/140x35,6000,tile,1200,single,1100
F5,140x45,6000,tile,1200,single,700
F5,2/140x45,6000,tile,1200,single,1400
F5,170x35,6000,tile,1200,single,800
F5,2/170x35,6000,tile,1200,single,1600
F5,170x45,6000,tile,1200,single,1000
F5,2/170x45,6000,tile,1200,single,1800
F5,190x35,6000,tile,1200,single,900
F5,2/190x35,6000,tile,1200,single,1900
F5,190x45,6000,tile,1200,single,1200
F5,2/190x45,6000,tile,1200,single,2000
F5,240x35,6000,tile,1200,single,1400
F5,2/240x35,6000,tile,1200,single,2300
F5,240x45,6000,tile,1200,single,1700
F5,2/240x45,6000,tile,1200,single,2600
F5,2/290x35,6000,tile,1200,single,2900
F5,290x45,6000,tile,1200,single,2300
F5,2/290x45,6000,tile,1200,single,3100
F5,90x35,7500,tile,600,single,600
F5,2/90x35,7500,tile,600,single,800
F5,90x45,7500,tile,600,single,600
F5,2/90x45,7500,tile,600,single,900
F5,120x35,7500,tile,600,single,700
F5,2/120x35,7500,tile,600,single,1100
F5,120x45,7500,tile,600,single,900
F5,2/120x45,7500,tile,600,single,1200
F5,140x35,7500,tile,600,single,900
F5,2/140x35,7500,tile,600,single,1300
F5,140x45,7500,tile,600,single,1100
F5,2/140x45,7500,tile,600,single,1400
F5,170x35,7500,tile,600,single,1200
F5,2/170x35,7500,tile,600,single,1600
F5,170x45,7500,tile,600,single,1300
F5,2/170x45,7500,tile,600,single,1700
F5,190x35,7500,tile,600,single,1300
F5,2/190x35,7500,tile,600,single,1700
F5,190x45,7500,tile,600,single,1400
F5,2/190x45,7500,tile,600,single,1900
F5,240x35,7500,tile,600,single,1500
F5,2/240x35,7500,tile,600,single,2200
F5,240x45,7500,tile,600,single,1700
F5,2/240x45,7500,tile,600,single,2400
F5,2/290x35,7500,tile,600,single,2700
F5,290x45,7500,tile,600,single,2100
F5,2/290x45,7500,tile,600,single,2900
F5,90x35,7500,tile,1200,single,0
F5,2/90x35,7500,tile,1200,single,0
F5,90x45,7500,tile,1200,single,0
F5,2/90x45,7500,tile,1200,single,600
F5,120x35,7500,tile,1200,single,0
F5,2/120x35,7500,tile,1200,single,700
F5,120x45,7500,tile,1200,single,0
F5,2/120x45,7500,tile,1200,single,900
F5,140x35,7500,tile,1200,single,0
F5,2/140x35,7500,tile,1200,single,900
F5,140x45,7500,tile,1200,single,600
F5,2/140x45,7500,tile,1200,single,1100
F5,170x35,7500,tile,1200,single,600
F5,2/170x35,7500,tile,1200,single,1300
F5,170x45,7500,tile,1200,single,800
F5,2/170x45,7500,tile,1200,single,1600
F5,190x35,7500,tile,1200,single,800
F5,2/190x35,7500,tile,1200,single,1600
F5,190x45,7500,tile,1200,single,900
F5,2/190x45,7500,tile,1200,single,1900
F5,240x35,7500,tile,1200,single,1100
F5,2/240x35,7500,tile,1200,single,2100
F5,240x45,7500,tile,1200,single,1400
F5,2/240x45,7500,tile,1200,single,2300
F5,2/290x35,7500,tile,1200,single,2600
F5,290x45,7500,tile,1200,single,2000
F5,2/290x45,7500,tile,1200,single,2900
MGP10,90x35,1500,sheet,600,single,1800.0
MGP10,2/90x35,1500,sheet,600,single,2100.0
MGP10,90x45,1500,sheet,600,single,1900.0
MGP10,2/90x45,1500,sheet,600,single,2300.0
MGP10,120x35,1500,sheet,600,single,2300.0
MGP10,2/120x35,1500,sheet,600,single,2800.0
MGP10,120x45,1500,sheet,600,single,2400.0
MGP10,2/120x45,1500,sheet,600,single,3000.0
MGP10,140x35,1500,sheet,600,single,2600.0
