grade,size,roof_load_width,roof_type,rafter_spacing,span_type,max_span
MGP10,2/140x35,1500,sheet,600,single,3100.0
MGP10,140x45,1500,sheet,600,single,2800.0
MGP10,2/140x45,1500,sheet,600,single,3300.0
MGP10,170x35,1500,sheet,600,single,3100.0
MGP10,2/170x35,1500,sheet,600,single,3600.0
MGP10,170x45,1500,sheet,600,single,3300.0
MGP10,2/170x45,1500,sheet,600,single,3800.0
MGP10,190x35,1500,sheet,600,single,3300.0
MGP10,2/190x35,1500,sheet,600,single,3900.0
MGP10,190x45,1500,sheet,600,single,3500.0
MGP10,2/190x45,1500,sheet,600,single,4100.0
MGP10,240x35,1500,sheet,600,single,3900.0
MGP10,2/240x35,1500,sheet,600,single,4600.0
MGP10,240x45,1500,sheet,600,single,4200.0
MGP10,2/240x45,1500,sheet,600,single,4800.0
MGP10,2/290x35,1500,sheet,600,single,5300.0
MGP10,290x45,1500,sheet,600,single,4800.0
MGP10,2/290x45,1500,sheet,600,single,5500.0
MGP10,90x35,1500,sheet,1200,single,1300.0
MGP10,2/90x35,1500,sheet,1200,single,2200.0
MGP10,90x45,1500,sheet,1200,single,1500.0
MGP10,2/90x45,1500,sheet,1200,single,2400.0
MGP10,120x35,1500,sheet,1200,single,1900.0
MGP10,2/120x35,1500,sheet,1200,single,2800.0
MGP10,120x45,1500,sheet,1200,single,2500.0
MGP10,2/120x45,1500,sheet,1200,single,3000.0
MGP10,140x35,1500,sheet,1200,single,2700.0
MGP10,2/140x35,1500,sheet,1200,single,3100.0
MGP10,140x45,1500,sheet,1200,single,2800.0
MGP10,2/140x45,1500,sheet,1200,single,3300.0
MGP10,170x35,1500,sheet,1200,single,3100.0
MGP10,2/170x35,1500,sheet,1200,single,3600.0
MGP10,170x45,1500,sheet,1200,single,3200.0
MGP10,2/170x45,1500,sheet,1200,single,3800.0
MGP10,190x35,1500,sheet,1200,single,3300.0
MGP10,2/190x35,1500,sheet,1200,single,3900.0
MGP10,190x45,1500,sheet,1200,single,3500.0
MGP10,2/190x45,1500,sheet,1200,single,4100.0
MGP10,240x35,1500,sheet,1200,single,3900.0
MGP10,2/240x35,1500,sheet,1200,single,4600.0
MGP10,240x45,1500,sheet,1200,single,4200.0
MGP10,2/240x45,1500,sheet,1200,single,4800.0
MGP10,2/290x35,1500,sheet,1200,single,5300.0
MGP10,290x45,1500,sheet,1200,single,4800.0
MGP10,2/290x45,1500,sheet,1200,single,5500.0
MGP10,90x35,3000,sheet,600,single,1400.0
MGP10,2/90x35,3000,sheet,600,single,1700.0
MGP10,90x45,3000,sheet,600,single,1500.0
MGP10,2/90x45,3000,sheet,600,single,1800.0
MGP10,120x35,3000,sheet,600,single,1800.0
MGP10,2/120x35,3000,sheet,600,single,2200.0
MGP10,120x45,3000,sheet,600,single,1900.0
MGP10,2/120x45,3000,sheet,600,single,2400.0
MGP10,140x35,3000,sheet,600,single,2100.0
MGP10,2/140x35,3000,sheet,600,single,2600.0
MGP10,140x45,3000,sheet,600,single,2200.0
MGP10,2/140x45,3000,sheet,600,single,2800.0
MGP10,170x35,3000,sheet,600,single,2500.0
MGP10,2/170x35,3000,sheet,600,single,3000.0
MGP10,170x45,3000,sheet,600,single,2700.0
MGP10,2/170x45,3000,sheet,600,single,3200.0
MGP10,190x35,3000,sheet,600,single,2800.0
MGP10,2/190x35,3000,sheet,600,single,3300.0
MGP10,190x45,3000,sheet,600,single,3000.0
MGP10,2/190x45,3000,sheet,600,single,3500.0
MGP10,240x35,3000,sheet,600,single,3300.0
