name,n_Pi,n_Ci,q_i^cut,t_i,t_i^cut,t_i^cut/t_i
E1,7,7,8,14680,14680,1.0
E2,10,10,14,32025,29890,0.9333333333333333
E3,20,20,5,13675,13675,1.0
E4,29,29,13,39455,39455,1.0
E5,75,75,10,39350,39350,1.0
E6,3,3,18,48000,43200,0.9
E7,1,1,13,48000,31200,0.65
