name,part_count,unused_part_count,T_p,T_w,f,f_hat
E1,8.0,0,0,280.0,288.0,0.9809264305177112
E2,14.0,0,0,4190.0,4204.0,0.8598193375710941
E3,5.0,0,0,175.0,180.0,0.9872029250457038
E4,16.0,1,500,3555.0,4070.0,0.8972246863515397
E5,20.0,0,0,3350.0,3370.0,0.9148665819567979
E6,84.0,66,13200,0.0,13218.0,0.6944444444444444
E7,13.0,0,0,1300.0,1313.0,0.9583333333333334
