,part_length,section_group
P0,500,G1
P1,900,G1
P2,950,G1
P3,1350,G1
P4,1400,G1
P5,1800,G1
P6,1850,G1
P7,2250,G1
P8,2300,G1
P9,2700,G1
P10,2750,G1
P11,3150,G1
P12,3200,G1
P13,3600,G1
P14,3650,G1
P15,4050,G1
P16,4100,G1
P17,4500,G1
P18,4550,G1
P19,4950,G1
P20,5000,G1
P21,2300,G3
P22,200,G2
P23,1600,G2
P24,1800,G2
P25,3200,G2
P26,3400,G2
P27,4800,G2
P28,5000,G2
