,part_length
P0,500
P1,900
P2,950
P3,1350
P4,1400
P5,1800
P6,1850
P7,2250
P8,2300
P9,2700
P10,2750
P11,3150
P12,3200
P13,3600
P14,3650
P15,4050
P16,4100
P17,4500
P18,4550
P19,4950
P20,5000
P21,2300
P22,200
P23,1600
P24,1800
P25,3200
P26,3400
P27,4800
P28,5000
