index,element_id,element_group_id,unused_parts,unused_part_lengths,unused_part_count,total_unused_part_lengths
0,E1-1,E1,[],[],0,0
1,E1-2,E1,[],[],0,0
2,E1-3,E1,[],[],0,0
3,E1-4,E1,[],[],0,0
4,E1-5,E1,[],[],0,0
5,E1-6,E1,[],[],0,0
6,E1-7,E1,[],[],0,0
7,E1-8,E1,[],[],0,0
8,E2-1,E2,[],[],0,0
9,E2-2,E2,[],[],0,0
10,E2-3,E2,[],[],0,0
11,E2-4,E2,[],[],0,0
12,E2-5,E2,[],[],0,0
13,E2-6,E2,[],[],0,0
14,E2-7,E2,[],[],0,0
15,E2-8,E2,[],[],0,0
16,E2-9,E2,[],[],0,0
17,E2-10,E2,[],[],0,0
18,E2-11,E2,[],[],0,0
19,E2-12,E2,[],[],0,0
20,E2-13,E2,[],[],0,0
21,E2-14,E2,[],[],0,0
22,E2-15,E2,[],[],0,0
23,E3-1,E3,[],[],0,0
24,E3-2,E3,[],[],0,0
25,E3-3,E3,[],[],0,0
26,E3-4,E3,[],[],0,0
27,E3-5,E3,[],[],0,0
28,E4-1,E4,[],[],0,0
29,E4-2,E4,[],[],0,0
30,E4-3,E4,[],[],0,0
31,E4-4,E4,[],[],0,0
32,E4-5,E4,[],[],0,0
33,E4-6,E4,[],[],0,0
34,E4-7,E4,[],[],0,0
35,E4-8,E4,[],[],0,0
36,E4-9,E4,[],[],0,0
37,E4-10,E4,[],[],0,0
38,E4-11,E4,[],[],0,0
39,E4-12,E4,[],[],0,0
40,E4-13,E4,['P0'],[500],1,500
41,E5-1,E5,[],[],0,0
42,E5-2,E5,[],[],0,0
43,E5-3,E5,[],[],0,0
44,E5-4,E5,[],[],0,0
45,E5-5,E5,[],[],0,0
46,E5-6,E5,[],[],0,0
47,E5-7,E5,[],[],0,0
48,E5-8,E5,[],[],0,0
49,E5-9,E5,[],[],0,0
50,E5-10,E5,[],[],0,0
51,E6-1,E6,"['P22', 'P22', 'P22']","[200, 200, 200]",3,600
52,E6-2,E6,"['P22', 'P22', 'P22']","[200, 200, 200]",3,600
53,E6-3,E6,"['P22', 'P22', 'P22']","[200, 200, 200]",3,600
54,E6-4,E6,"['P22', 'P22', 'P22']","[200, 200, 200]",3,600
55,E6-5,E6,"['P22', 'P22', 'P22']","[200, 200, 200]",3,600
56,E6-6,E6,"['P22', 'P22', 'P22']","[200, 200, 200]",3,600
57,E6-7,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
58,E6-8,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
59,E6-9,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
60,E6-10,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
61,E6-11,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
62,E6-12,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
63,E6-13,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
64,E6-14,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
65,E6-15,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
66,E6-16,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
67,E6-17,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
68,E6-18,E6,"['P22', 'P22', 'P22', 'P22']","[200, 200, 200, 200]",4,800
69,E6-19,E6,[],[],0,0
70,E6-20,E6,[],[],0,0
71,E7-1,E7,[],[],0,0
72,E7-2,E7,[],[],0,0
73,E7-3,E7,[],[],0,0
74,E7-4,E7,[],[],0,0
75,E7-5,E7,[],[],0,0
76,E7-6,E7,[],[],0,0
77,E7-7,E7,[],[],0,0
78,E7-8,E7,[],[],0,0
79,E7-9,E7,[],[],0,0
80,E7-10,E7,[],[],0,0
81,E7-11,E7,[],[],0,0
82,E7-12,E7,[],[],0,0
83,E7-13,E7,[],[],0,0
84,E7-14,E7,[],[],0,0
85,E7-15,E7,[],[],0,0
86,E7-16,E7,[],[],0,0
87,E7-17,E7,[],[],0,0
88,E7-18,E7,[],[],0,0
89,E7-19,E7,[],[],0,0
90,E7-20,E7,[],[],0,0
