name,D,B,L,qty,section_group_id,section_group_id_and_qty
E1,90,19,1835,8,E1,E1 (x8)
E2,90,19,2135,15,E2,E2 (x15)
E3,90,19,2735,5,E3,E3 (x5)
E4,90,19,3035,13,E4,E4 (x13)
E5,90,19,3935,10,E5,E5 (x10)
E6,90,45,2400,20,E6,E6 (x20)
E7,90,35,2400,20,E7,E7 (x20)
