element_id,element_group_id,cutting_pattern_id,part_id,part_count,total_part_length,L,T_w
E1-1,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-2,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-3,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-4,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-5,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-6,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-7,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E1-8,E1,C2^E1,['P5'],1.0,1800.0,1835,35.0
E2-1,E2,C7^E2,['P5'],1.0,1800.0,2135,335.0
E2-2,E2,C7^E2,['P5'],1.0,1800.0,2135,335.0
E2-3,E2,C7^E2,['P5'],1.0,1800.0,2135,335.0
E2-4,E2,C7^E2,['P5'],1.0,1800.0,2135,335.0
E2-5,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-6,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-7,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-8,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-9,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-10,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-11,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-12,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-13,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-14,E2,C8^E2,['P6'],1.0,1850.0,2135,285.0
E2-15,E2,,,,,2135,
E3-1,E3,C19^E3,['P9'],1.0,2700.0,2735,35.0
E3-2,E3,C19^E3,['P9'],1.0,2700.0,2735,35.0
E3-3,E3,C19^E3,['P9'],1.0,2700.0,2735,35.0
E3-4,E3,C19^E3,['P9'],1.0,2700.0,2735,35.0
E3-5,E3,C19^E3,['P9'],1.0,2700.0,2735,35.0
E4-1,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-2,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-3,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-4,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-5,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-6,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-7,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-8,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-9,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-10,E4,C38^E4,['P10'],1.0,2750.0,3035,285.0
E4-11,E4,C40^E4,"['P0', 'P8']",2.0,2800.0,3035,235.0
E4-12,E4,C40^E4,"['P0', 'P8']",2.0,2800.0,3035,235.0
E4-13,E4,C40^E4,"['P0', 'P8']",2.0,2800.0,3035,235.0
E5-1,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-2,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-3,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-4,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-5,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-6,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-7,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-8,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-9,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E5-10,E5,C74^E5,"['P3', 'P7']",2.0,3600.0,3935,335.0
E6-1,E6,C0^E6,"['P22', 'P22', 'P22', 'P24']",4.0,2400.0,2400,0.0
E6-2,E6,C0^E6,"['P22', 'P22', 'P22', 'P24']",4.0,2400.0,2400,0.0
E6-3,E6,C0^E6,"['P22', 'P22', 'P22', 'P24']",4.0,2400.0,2400,0.0
E6-4,E6,C0^E6,"['P22', 'P22', 'P22', 'P24']",4.0,2400.0,2400,0.0
E6-5,E6,C0^E6,"['P22', 'P22', 'P22', 'P24']",4.0,2400.0,2400,0.0
E6-6,E6,C0^E6,"['P22', 'P22', 'P22', 'P24']",4.0,2400.0,2400,0.0
E6-7,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-8,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-9,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-10,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-11,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-12,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-13,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-14,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-15,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-16,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-17,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-18,E6,C1^E6,"['P22', 'P22', 'P22', 'P22', 'P23']",5.0,2400.0,2400,0.0
E6-19,E6,,,,,2400,
E6-20,E6,,,,,2400,
E7-1,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-2,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-3,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-4,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-5,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-6,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-7,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-8,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-9,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-10,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-11,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-12,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-13,E7,C0^E7,['P21'],1.0,2300.0,2400,100.0
E7-14,E7,,,,,2400,
