,0,1
0,x_J0^M1,0.0
1,x_J0^M2,13.0
2,x_J0^M3,3.0
3,x_J10^M1,0.0
4,x_J11^M1,0.0
5,x_J12^M1,0.0
6,x_J13^M1,0.0
7,x_J14^M1,0.0
8,x_J15^M1,0.0
9,x_J16^M1,2.0
10,x_J17^M1,0.0
11,x_J18^M1,0.0
12,x_J19^M1,10.0
13,x_J1^M1,0.0
14,x_J1^M3,0.0
15,x_J20^M1,3.0
16,x_J21^M1,0.0
17,x_J22^M1,0.0
18,x_J23^M1,0.0
19,x_J24^M1,0.0
20,x_J25^M1,0.0
21,x_J2^M1,0.0
22,x_J2^M3,0.0
23,x_J3^M1,0.0
24,x_J3^M3,0.0
25,x_J4^M1,0.0
26,x_J4^M3,0.0
27,x_J5^M1,0.0
28,x_J5^M3,0.0
29,x_J6^M1,0.0
30,x_J7^M1,0.0
31,x_J8^M1,0.0
32,x_J9^M1,10.0
